Question,Solution,,,,,,,,
"Q7. Four identical hollow cylindrical columns of mild steel support a big structure with a mass of 50,000 kg. The inner and outer radii of each column are 30 and 60 cm, respectively. Assuming the load distribution to be uniform, calculate the compressional strain of each column.","Mass of the big structure, M = 50,000 kg
Total force exerted on the four columns= Total weight of the structure=50000×9.8N
The compressional force on each column = Mg/4 = (50000×9.8)/4 N= 122500 N
Therefore, Stress = 122500 N
Young’s modulus of steel, Y=2×10^11 Pa
Young’s modulus, Y= Stress/Strain
Strain = Young’s modulus/Stress
Strain = (F/A)/Y
Inner radius of the column, r = 30 cm = 0.3 m
Outer radius of the column, R = 60 cm = 0.6 m
Where,
Area, A=π(R^2−r^2)=π((0.6)^2−(0.3)^2) = 0.27 π m^2
Strain =122500/[0.27 x 3.14×2×10^11]=7.22×10^−7
Hence, the compressional strain of each column is 7.22×10^−7.",,,,,,,,
"Q8. A piece of copper having a rectangular cross-section of 15.2 mm × 19.1 mm is pulled in tension with 44,500 N force, producing only elastic deformation. Calculate the resulting strain.","Area of the copper piece, A=19.1×10^(−3) ×15.2×10^(−3)=2.9×10^(−4)m^2
Tension force applied on the piece of copper, F=44,500 N
Modulus of elasticity of copper, Y=42×10^9 Nm^(−2)
Modulus of elasticity (Y) = Stress / Strain
=(F/A) / Strain
Strain = F/(YA)
= 44500/(2.9×10^(−4)×42×10^9)
= 3.65×10^(−3)",,,,,,,,
Q9. A steel cable with a radius of 1.5 cm supports a chairlift in a ski area. If the maximum stress is not to exceed 10^8 Nm^-2.What is the maximum load the cable can support?,"Radius of the steel cable, r=1.5 cm = 0.015 m
Cross-sectional area of the cable = πr2= 3.14 x ( 0.015)^2
= 7.06 x 10^-4 m
Maximum stress allowed on the steel cable = 10^8 N/m^2
Maximum load the cable can support = Maximum stress × Area of cross-section
= 108 x 7.06 x 10^-4
= 7.065×10^4 N
Hence, the cable can support the maximum load of 7.065×10^4 N.",,,,,,,,
"Q10. A rigid bar of mass 15 kg is supported symmetrically by three wires, each 2.0 m long. Those at each end are of copper, and the middle one is of iron. Determine the ratios of their diameters if each is to have the same tension.","As the tension on the wires is the same, the extension of each wire will also be the same. Now, as the length of the wires is the same, the strain on them will also be equal.
Now, we know
Y = Stress / Strain
= (F/A) / Strain  =  (4F/πd^2) / Strain     . . . . . . . . . . ( 1 )
Where,
A = Area of cross-section
F = Tension force
d = Diameter of the wire
We can conclude from equation ( 1 ) that Y ∝ (1/d^2).
We know that Young’s modulus for iron, Y1 = 190 × 10^9 Pa
Let the diameter of the iron wire = d1
Also, Young’s modulus for copper, Y2 = 120 × 10^9 Pa
Let the diameter of the copper wire = d2
Thus, the ratio of their diameters can be given as
= \(\begin{array}{l}\sqrt{\frac{190×10^{9}}{120×10^{9}}}\end{array} \) =1.26 : 1",,,,,,,,
"Q11. A 14.5 kg mass, fastened to the end of a steel wire of unstretched length 1.0 m, is whirled in a vertical circle with an angular velocity of 2 rev/s at the bottom of the circle. The cross-sectional area of the wire is 0.065 cm^2. Calculate the elongation of the wire when the mass is at the lowest point of its path.","Mass, m = 14.5 kg
Length of the steel wire, l = 1 m
Angular velocity, v = 2 rev/s
Cross-sectional area of the wire, A = 0.065 x 10^(-4) m^2
Total pulling force on the steel wire when the mass is at the lowest point of the vertical circle, F = mg + mr ω^2
= 14.5×9.8+14.5×1×(12.56)^2
=2429.53 N
Young’s modulus = Stress / Strain
\(\begin{array}{l}Y=\frac{F}{A}\frac{l}{\Delta l}\end{array} \)

 
Δl=(2429.53×1)/(0.065×10^(−4)) × (2×10^11) = 1.87×10^(−3)m
Hence, the elongation of the wire when the mass is at the lowest is 1.87×10^(−3)m.",,,,,,,,
"Q12. Compute the bulk modulus of water from the following data: Initial volume = 100.0 litres, Pressure increase = 100.0 atm (1 atm = 1.013 × 10^5 Pa), Final volume = 100.5 litres. Compare the bulk modulus of water with that of air (at constant temperature). Explain in simple terms why the ratio is so large.","Initial volume, V1 =100.0 litre =100.0×10^−3 m^3
Final volume, V2 =100.5 litre =100.5×10^−3 m^3
Change in the volume, ΔV=V2 −V1 =0.5×10^−3 m^3
Pressure increase, p=100.0atm=100×1.013×10^5Pa
= 101.3 x 10^5Pa
Bulk modulus of water= p/(ΔV/V1)=pV1/ΔV
= 101.3×10^5×100×10^(−3)/(0.5×10^−3)
= 2.026×10^9 Pa
Bulk modulus of air = 1×10^5 Pa
Bulk modulus of water / Bulk modulus of air = 2.026×10^9/(1×10^5)
=2.026×10^4
The intermolecular force in liquids is much larger than in air as the distance between the molecules is much lesser in liquid than in air. Therefore, at the same temperature, the strain for water is much more than for air.",,,,,,,,
"Q13. What is the density of water at a depth where pressure is 80.0 atm, given that its density at the surface is 1.03 × 10^3 kg m^–3? ","Let the depth be the alphabet ‘d’.
Given,
Pressure at the given depth, p = 60.0 atm = 60 × 1.01 × 10^5 Pa
Density of water at the surface, ρ1 = 1.03 × 10^3 kg m^–3
Let ρ2 be the density of water at the depth d.
V1 be the volume of water of mass m at the surface.
Then, let V2 be the volume of water of mass m at the depth h.
And ΔV is the change in volume.
ΔV = V1 – V2
= m [ (1/ρ1) – (1/ρ2) ]
∴ Volumetric strain = ΔV / V1
= m [ (1/ρ1) – (1/ρ2) ] × (ρ1 / m)
ΔV / V1 = 1 – (ρ1/ρ2)        . .  . . .  . . ( 1 )
We know, Bulk modulus, B = pV1 / ΔV
=> ΔV / V1 = p / B
Compressibility of water = ( 1/B ) = 45.8 × 10^(-11) Pa^(-1)
∴ ΔV / V1 = 60 × 1.013 × 10^5 × 45.8 × 10^-11  =  2.78 × 10^-3    . . . . . ( 2 )
Using equation ( 1 ) and equation ( 2 ), we get
1 – (ρ1/ρ2)   =   2.78 × 10 ^-3
ρ2 = 1.03 × 10^3 / [ 1 – (2.78 × 10^-3) ]
= 1.032 × 10^3 kg m^-3
Therefore, at depth d, water has a density of 1.034 × 10^3 kg m^–3.",,,,,,,,
Q14. Compute the fractional change in volume of a glass slab when subjected to a hydraulic pressure of 10 atm.,"Given,
Pressure acting on the glass plate, p = 10 atm = 10 × 1.013 × 10^5 Pa
We know,
Bulk modulus of glass, B = 37 × 10^9 Nm^–2
=> Bulk modulus, B = p / (∆V/V)
Where,
∆V/V = Fractional change in volume
∴ ∆V/V = p / B
= [ 10 × 1.013 × 10^5] / (37 × 10^9)
= 2.73 × 10^ -4
Therefore, the fractional change in the volume of the glass plate is 2.73 × 10^–4.",,,,,,,,
"Q15. Determine the volume contraction of a solid copper cube, 10 cm on edge, when subjected to a hydraulic pressure of 7.0 × 10^6 Pa.","Side of the copper cube, a = 10 cm
Therefore, the volume of the copper cube, V = a3 = 10^-3 m^3
Hydraulic pressure, p = 7.0 x 10^6 Pa
Bulk modulus of copper B = 140 G Pa = 140 x 10^9 Pa.
Bulk modulus, K=−P/(ΔV/V) ​
We get the value of volume contraction as ΔV = – PV/K
=−(7×10^6 ×0.001)/(140×10^9)
=−0.05×10^(−6) m^3",,,,,,,,
Q16.How much should the pressure on a litre of water be changed to compress it by 0.10%? ,"Volume of water, V=1 litre
Water should be compressed by 0.10%
The fractional change in volume, △V/V=(0.1/100)×1=10^(−3)
Bulk modulus, B =P/(△V/V) = PV/△V
P=B×(△V/V)
Bulk modulus of water, B = 2.2×10^9 Nm^−2
Pressure on water, P=2.2×10^9 ×10^−3 =2.2×10^6 Pa",,,,,,,,
"Q20. Two strips of metal are riveted together at their ends by four rivets, each of diameter 6.0 mm. What is the maximum tension that can be exerted by the riveted strip if the shearing stress on the rivet is not to exceed 6.9 × 10^7 Pa? Assume that each rivet is to carry one-quarter of the load.","Diameter of the metal strips= 6mm = 6 x  10^-3 m
Radius, r = 3 x 10^-3 m;
Shearing stress on the rivet= 6.9 x 10^7 Pa
Maximum load or force on a rivet
= Maximum stress x cross-sectional area
= 6.9 x 10^7 x 3.14 x (3 x 10^-3)^2 N = 1950 N
Maximum tension = 4 x 1950 N = 7800 N",,,,,,,,
"Q21. The Marina trench is located in the Pacific Ocean, and in one place, it is nearly eleven km beneath the surface of the water. The water pressure at the bottom of the trench is about 1.1 × 10^8 Pa. A steel ball of initial volume 0.32 m^3 is dropped into the ocean and falls to the bottom of the trench. What is the change in the volume of the ball when itreaches the bottom?","Water pressure at the bottom of the trench, p=1.1×10^8 Pa
Initial volume of the steel ball, V=0.32m^3
Bulk modulus of steel, B=1.6×10^11 Nm^−2
The ball falls at the bottom of the trench, which is nearly 11 km beneath the surface of the water.
The volume change of the ball after reaching the bottom of the trench is  △V.
Bulk modulus, B=p/(△V/V) = pV/△V
△V= pV/B
=(1.1×10^8×0.32)/(1.6×10^11)
= 0.352 ×10^8/1.6×10^11
= 0.22 x 10^(-3) m^3
The change in volume of the ball on reaching the bottom of the trench is 0.22 x 10^(-3) m^3",,,,,,,,
"1: Explain why
(a) The blood pressure in humans is greater at the feet than at the brain.
(b) Atmospheric pressure at the height of about 6 km decreases to nearly half of its value at sea level, though the height of the atmosphere is more than 100 km.
(c) Hydrostatic pressure is a scalar quantity even though the pressure is force divided by area.","(a). The blood column to the feet is at a greater height than the head. Thus, the blood pressure in the feet is greater than that in the brain.
(b). The density of the atmosphere does not decrease linearly with the increase in altitude, in fact, most of the air molecules are close to the surface. Thus, there is this nonlinear variation of atmospheric pressure.
(c). In hydrostatic pressure, the force is transmitted equally in all directions in the liquid; thus, there is no fixed direction of pressure, making it a scalar quantity.",,,,,,,,
"3: Fill in the blanks using the word(s) from the list appended with each statement.
(a) The surface tension of liquids generally … with temperatures. (increases/decreases)
(b) The viscosity of gases … with temperature, whereas the viscosity of liquids … with temperature. (increases/decreases)
(c) For solids with an elastic modulus of rigidity, the shearing force is proportional to …, while for fluids, it is proportional to … (shear strain/rate of shear strain)
(d) For a fluid in a steady flow, the increase in flow speed at a constriction follows. (conservation of mass/Bernoulli’s principle)
(e) For the model of a plane in a wind tunnel, turbulence occurs at a … speed for turbulence for an actual plane. (greater/smaller)","(a) decreases
(b) increases; decreases
(c) shear strain; rate of shear strain
(d) conservation of mass; Bernoulli’s principle
(e) greater",,,,,,,,
"4: Explain why
(a) To keep a piece of paper horizontal, you should blow over, not under it.
(b) When we try to close a water tap with our fingers, fast jets of water gush through the openings between our fingers.
(c) The size of the needle of a syringe controls the flow rate better than the thumb pressure exerted by a doctor while administering an injection.
(d) A fluid flowing out of a small hole in a vessel results in a backward thrust on the vessel.
(e) A spinning cricket ball in the air does not follow a parabolic trajectory.","(a) If we blow over a piece of paper, the velocity of air above the paper becomes more than that below it. As the K.E. of air above the paper increases, in accordance with Bernoulli’s theorem, its pressure energy and hence, its pressure decreases.
Due to the greater value of pressure below the piece of paper = atmospheric pressure, it remains horizontal and does not fall.
(b) As per the equation of continuity, area × velocity = constant. When we try to close a water tap with our fingers, the area of the cross-section of the outlet of the water jet is reduced considerably, as the openings between our fingers provide constriction (regions of smaller area).
Thus, the velocity of the water increases greatly, and fast jets of water come through the openings between our fingers.
(c) The size of the needle controls the velocity of flow, and the thumb pressure controls pressure.  According to the Bernoulli’s theorem  P + \(\begin{array}{l}\frac{ 1 }{ 2 } pv^{ 2 }\end{array} \) = Constant
In this equation, the pressure P occurs with a single power, whereas the velocity occurs with a square power. Therefore, the velocity is more effective compared to the pressure. It is for this reason that the needle of the syringe controls the flow rate better than the thumb pressure exerted by the doctor.
(d) This is because of the principle of conservation of momentum. While the flowing fluid carries forward momentum, the vessel gets a backward momentum.(e) A spinning cricket ball would have followed a parabolic trajectory had there been no air. But because of air, the Magnus effect takes place. Due to the Magnus effect, the spinning cricket ball deviates from its parabolic trajectory.",,,,,,,,
"5: A 50 kg girl wearing high heel shoes balances on a single heel. The heel is circular with a diameter of 1.0 cm. What is the pressure exerted by the heel on the horizontal floor? 
","Given:
Radius of the heel, r = \(\begin{array}{l}\frac{ d }{ 2 }\end{array} \) = 0.005 m
Mass of the lady, m = 50 kg
Area of the heel, A = πr^2 = π (0.005)^2= 7.85 × 10^(-5) m^2
Force on the floor due to the heel, F = mg = 50 × 9.8 = 490 N
The pressure exerted by the heel on the floor,
P = \(\begin{array}{l}\frac{ F }{ A }\end{array} \)  = \(\begin{array}{l}\frac{ 490 }{  7.85 \times  10^{ -5 }}\end{array} \)

P = \(\begin{array}{l}6.24 \times 10^{ 6 }\end{array} \) Nm^(-2)",,,,,,,,
6: Toricelli’s barometer used mercury. Pascal duplicated it using French wine of density 984 kg m^–3. Determine the height of the wine column for normal atmospheric pressure.,"We know:
Density of mercury, ρ1 = 13.6 × 10^3 kg/m^3
Height of the mercury column, h1 = 0.76 m
Density of French wine, ρ2 = 984 kg/m^3
Let the height of the French wine column = h2Acceleration due to gravity, g = 9.8 m/s^2
We know that
Pressure in the mercury column = Pressure in the wine columnρ1h1 g =ρ2h2 g
 h2 = \begin{array}{l}\frac{ \rho _{ 1 } h_{ 1 } }{ \rho _{ 2 } }\end{array} = \begin{array}{l} \frac{ 13.6 \times 10^{ 3 } \times 0.76 }{ 984 } \end{array} = 10.5 m",,,,,,,,
"7: A vertical off-shore structure is built to withstand maximum stress of 109 Pa. Is the structure suitable for putting up on top of an oil well in the ocean? Take the depth of the ocean to be roughly 3 km, and ignore ocean currents.
","Given:
The maximum stress the structure can handle, P = 10^9 Pa
Depth of the sea, d = 3 km = 3 × 10^3 m  Density of water, ρ = 10^3 kg/m^3
Acceleration due to gravity, g = 9.8 m/s^2
We know
The pressure exerted by the seawater at depth, d = ρdg = 10^3 x 3 × 10^3 × 9.8 = 2.94 × 10^7 Pa
As the sea exerts a pressure lesser than the maximum stress the structure can handle, the structure can survive on the oil well in the sea.",,,,,,,,
8: A hydraulic automobile lift is designed to lift cars with a maximum mass of 3000 kg. The area of the cross-section of the piston carrying the load is 425 cm^2. What maximum pressure would the smaller piston have to bear?,"Given:
Maximum mass that can be lifted, m = 3000 kg
Area of cross-section of the load-carrying piston, A = 425 cm^2= 425 × 10^-4 m^2
The maximum force exerted by the load,
F = mg = 3000 x 9.8 =   29400 N
The maximum pressure  on the load-carrying piston, P = F / A
P = \(\begin{array}{l}\frac{ 29400 }{  425 \times 10^{ -4 }} \end{array} \) = 6.917 x 10^5 Pa
In a liquid, the pressure is transmitted equally in all directions. Therefore, the maximum pressure on the smaller is 6.917 × 10^5 Pa",,,,,,,,
9: A U-tube contains water and methylated spirit separated by mercury. The mercury columns in the two arms are in level with 10.0 cm of water in one arm and 12.5 cm of spirit in the other. What is the specific gravity of the spirit?,"Given:
Height of the spirit column, h1 = 12.5 cm = 0.125 m
Height of the water column, h2 = 10 cm = 0.1 m
Let A and B be the points of contact between spirit and mercury and water and mercury, respectively.P0 = Atmospheric pressure
ρ1 = Density of spirit
ρ2 = Density of water
Pressure a point A = P0 + ρ1h 1g
Pressure at point B = P0 + ρ2h 2g
We know the pressure at B and D is the same. So,
P0 + ρ1h1g = P0 + ρ2h 2g
Therefore, the specific gravity of water is 0.8.",,,,,,,,
11: Can Bernoulli’s equation be used to describe the flow of water through a rapid in a river? Explain.,"Bernoulli’s equation cannot be applied to the water flowing in a river because it is applicable only to ideal liquids in a streamlined flow, and the water in a stream is turbulent.",,,,,,,,
12: Does it matter if one uses gauge instead of absolute pressures in applying Bernoulli’s equation? Explain.,"No, it does not matter if one uses gauge instead of absolute pressures in applying Bernoulli’s equation, provided the atmospheric pressure at the two points where Bernoulli’s equation applied to the system is significantly different.",,,,,,,,
"13: Glycerine flows steadily through a horizontal tube of length 1.5 m and radius 1.0 cm. If the amount of glycerine collected per second at one end is 4.0 × 10^–3 kg s^–1, what is the pressure difference between the two ends of the tube? (Density of glycerine = 1.3 × 10^3 kg m^–3 and viscosity of glycerine = 0.83 Pa s.) [You may also like to check if the assumption of laminar flow in the tube is correct.]","Given:Length of the horizontal tube, l = 1.5 m
Radius of the tube, r = 1 cm = 0.01 m
Diameter of the tube, d = 2r = 0.02 m
Glycerine is flowing at the rate of 4.0 × 10^-3 kg/s
M = 4.0 × 10^-3 kg/s
Density of glycerine, ρ = 1.3 × 10^3 kg m^-3
Viscosity of glycerine, η = 0.83 Pa s
We know the volume of glycerine flowing per sec,
V = \(\begin{array}{l}\frac{ M }{ density }\end{array} \) = \(\begin{array}{l} \frac{ 4\; \times \;10^{ -3 } }{ 1.3\; \times \;10^{ 3 } }\end{array} \) = 3.08 x 10^-6 m^3 /s
Using Poiseville’s formula, we get
V = \(\begin{array}{l}\frac{ \pi p^{‘} r^{ 4 }}{ 8\; \eta \;l}\end{array} \)
\(\begin{array}{l}p^{‘} = \frac{ V \;8\; \eta \;l}{ \pi r^{ 4 }}\end{array} \)

Where p’ is the pressure difference between the two ends of the pipe.
p’ = \(\begin{array}{l}\frac{3.08\; \times \;10^{-6} \;\times \;8\; \times \;0.83\; \times \;2 }{\pi \;\times \;(0.01)^{4} }\end{array} \) = 9.8 x 10^2 Pa
And, we know
\(\begin{array}{l}R = \frac{ 4 \;\rho \;V }{ \pi \;d\; \eta }\end{array} \), [Where R = Reynolds’s number]
R = \(\begin{array}{l}\frac{4 \times 1.3 \times 10^{3} \times 3.08\times 10^{-6} }{\pi \times 0.83 \times 0.02 }\end{array} \) = 0.3
Since Reynolds’ number is 0.3, which is way smaller than 2000, the flow of glycerine in the pipe is laminar. ",,,,,,,,
"14:  In a test experiment on a model aeroplane in a wind tunnel, the flow speeds on the upper and lower surfaces of the wing are 70 m s^–1 and 63 m s^-1, respectively. What is the lift on the wing if its area is 2.5 m^2? Take the density of air to be 1.3 kg m^–3 ","Given:
Speed of wind on the upper side of the wing, V1 = 70 m/s
Speed of wind on the lower side of the wing, V2 = 63 m/s
Area of the wing, A = 2.5 m^2
Density of air, ρ = 1.3 kg m^-3
Using Bernoulli’s theorem, we get\(\begin{array}{l}P_{ 1 } + \frac{ 1 }{ 2 }\rho V_{ 1 }^{ 2 } = P_{ 2 } + \frac{ 1 }{ 2 }\rho V_{ 2 }^{ 2 }\end{array} \)

Where, P1 = Pressure on the upper side of the wing
P2 = Pressure on the lower side of the wing 
Now, the lift on the wing = ( P2 – P1 ) x Area
= \(\begin{array}{l}\frac{ 1 }{ 2 }\rho \left ( V_{ 1 }^{ 2 } – V_{ 2 }^{ 2 } \right ) \times A\end{array} \)
= \(\begin{array}{l}\frac{ 1 }{ 2 }\times 1.3 \left ( \left ( 70 \right )^{ 2 } – \left ( 63 \right )^{ 2 } \right ) \times 2.5
 
Therefore, the lift experienced by the wings of the aircraft is 1.51 x 10^3 N.",,,,,,,,
"20: What is the excess pressure inside a bubble of soap solution of radius 5.00 mm, given that the surface tension of soap solution at the temperature (20 °C) is 2.50 × 10^(–2^ N m^–1? If an air bubble of the same dimension were formed at a depth of 40.0 cm inside a container containing the soap solution (of relative density 1.20), what would be the pressure inside the bubble? (1 atmospheric pressure is 1.01 × 10^5 Pa)","Given:
Surface tension of the soap solution, S = 2.50 × 10^(-2) N/m r = 5.00 mm = 5 × 10^(-3) m
Density of the soap solution, ρ = 1.2 × 10^3 kg/m^3  Relative density of the soap solution = 1.20 
Air bubble is at a depth, h = 30 cm = 0.3 m
Radius of the air bubble, r = 4 mm = 5× 10^(-3) m
Acceleration due to gravity, g = 9.8 m/s^2      1 atmospheric pressure = 1.01 × 10^5 Pa We know;
P = \(\begin{array}{l}\frac{ 4S } { r }\end{array} \)
= \(\begin{array}{l}\left (\frac{ 4 \times 2.5 \times 10^{ -2 } }{ 5 \times 10^{ -3 } } \right )\end{array} \) = 20 Pa
Thus, the excess pressure inside the soap bubble is 20 Pa.Now, for the excess pressure inside the air bubble, P’ = \(\begin{array}{l}\frac{ 2S }{ r }\end{array} \)
P’ = \(\begin{array}{l}\left (\frac{ 2 \times 2.5 \times 10^{ -2 } }{ 5 \times 10^{ -3 } } \right )\end{array} \) = 10 Pa
Thus, the excess pressure inside the air bubble is 10 Pa.
At a depth of 0.4 m, the total pressure inside the air bubble = Atmospheric pressure + hρg + P’
= 1.01 x 10^5 + 0.4 x 1.2 x 10^3 x 9.8 + 10= 1.06 x 10^5 Pa.",,,,,,,,
"21: A tank with a square base of area 1.0 m^2 is divided by a vertical partition in the middle. The bottom of the partition has a small-hinged door of area 20 cm^2. The tank is filled with water in one compartment and an acid (of relative density 1.7) in the other, both to a height of 4.0 m. Compute the force necessary to keep the door close. ","Given:
Area of the hinged door, a = 20 cm^2= 20 × 10^-4 m
Base area of the given tank, A = 2 m^2
Density of water, ρ1 = 10^3 kg/m^3
Density of acid, ρ2 = 1.7 × 10^3 kg/m^3
Height of the water column, h1 = 4 m
Height of the acid column, h2 = 4 m
Acceleration due to gravity, g = 9.8 ms^-2
Pressure exerted by water , P1­ = h1ρ1g  = 4 x 10^3 x 9.8  = 3.92 x 10^4 Pa
the pressure exerted by acid , P2 = h2ρ2g  = 4 x 1.7 x 10^3 x 9.8 = 6.664 x 10^4 Pa
Pressure difference between the above two,ΔP = P2 – P1
= (6.664 – 3.92) X 10^4= 2.744 x 10^4PaThus, the force on the door = ΔP x a
=2.744 x 10^4 x 20 × 10^(-4)= 54.88 N   Hence, the force required to keep the door closed is 54.88N.",,,,,,,,
"23: Two vessels have the same base area but different shapes. The first vessel takes twice the volume of water that the second vessel requires to fill up to a particular common height. Is the force exerted by the water on the base of the vessel the same in the two cases? If so, why do the vessels filled with water to that same height give different readings on a weighing scale?","As the base area is the same as the pressure, the force acting on the two vessels will also be the same. However, force is also exerted on the walls of the vessel, which have a nonvertical component when the walls are not perpendicular to the base. The net non-vertical component on the sides of the vessel is lesser for the second vessel than the first.  Therefore, the vessels have different weights despite having the same force on the base.",,,,,,,,
"25: In deriving Bernoulli’s equation, we equated the work done on the fluid in the tube to its change in the potential and kinetic energy. (a) What is the largest average velocity of blood flow in an artery of diameter 2 × 10^–3 m if the flow must remain laminar? (b) Do the dissipative forces become more important as the fluid velocity increases? Discuss qualitatively.","(a) If dissipative forces are present, then some forces in liquid flow due to pressure difference is spent against dissipative forces, due to which the pressure drop becomes large.
(b) The dissipative forces become more important with increasing flow velocity because of turbulence.",,,,,,,,
26: (a) What is the largest average velocity of blood flow in an artery of radius 2×10^–3m if the flow must remain laminar? (b) What is the corresponding flow rate? (Take the viscosity of blood to be 2.084 × 10^–3 Pa s),"Given:
Radius of the vein, r = 2 × 10^-3 m
Diameter of the vein, d = 2 × 1 × 10^-3 m = 2 × 10^-3 m
Viscosity of blood ,η = 2.08 x 10^(-3) m  Density of blood, ρ = 1.06 × 10^3 kg/m^3
(a) We know Reynolds’ number for laminar flow, NR = 2000
Therefore, the greatest  average velocity of blood is
VAVG= \(\begin{array}{l}\frac{ N_{ R }\eta }{ \rho d }\end{array} \)
= \(\begin{array}{l}\frac{ 2000 \times 2.084 \times 10^{-3} }{ 1.06 \times 10^{ 3 } \times 4 \times 10^{ -3 }} \end{array} \)
= 0.983m/s
(b) And, flow rate R = VAVG π r2 = 0.983 x 3.14 x ( 10^-3)^2= 1.235 x 10^-6 m^3/s",,,,,,,,
"27: A plane is in level flight at a constant speed, and each of its wings has an area of 25 m^2. If the speed of the air is 180 km/h over the lower wing and 234 km/h over the upper wing surface, determine the plane’s mass. (Take air density to be 1 kg/m^3, g = 9.8 m/s^2","Area of the wings of the plane, A=2×25=50 m^2
Speed of air over the lower wing, V1
​=180km/h= 180 x (5/18) = 50 m/s
Speed of air over the upper wing, V2
=234km/h= 234 x (5/18) = 65 m/s
Density of air, =1kg/m^3
Pressure of air over the lower wing =P1
​Pressure of air over the upper wing =P2
​Pressure difference,ΔP = P1​−P2 = (1/2) ρ (V22 – V12)
= (1/2) x 1 x (652 – 502) = 862.5 Pa
​The net upward force F=ΔP x A
The upward forces balance the weight of the plane
mg = ΔP x A
m = (ΔP x A)/g
= (862.5 x 50)/9.8​
=4400kg
The mass of the plane is 4400 kg.",,,,,,,,
"28: In Millikan’s oil drop experiment, what is the terminal speed of an uncharged drop of radius 2.0 × 10^–5 m and density 1.2 × 10^3 kg m^–3? Take the viscosity of air at the temperature of the experiment to be 1.8 × 10^–5 Pa s. How much is the viscous force on the drop at that speed? Neglect buoyancy of the drop due to air.","Given:
Acceleration due to gravity, g = 9.8 m/s^2
Radius of the uncharged drop, r = 2.0 × 10^(-5) m
Density of the uncharged drop, ρ = 1.2 × 10^3 kg m^-3  Viscosity of air, η =  1.8 × 10^(-5) Pa s
We consider the density of air to be zero in order to neglect the buoyancy of air.
Therefore, terminal velocity (v) is
v =  \(\begin{array}{l}\frac{ 2 r^{ 2 } g \rho }{ 9 \eta }\end{array} \)
= \(\begin{array}{l}\frac{ 2 \left ( 2.0 \times 10^{ -5 } \right )^{ 2 } \times 9.8 \times 1.2 \times 10^{ 3 } }{ 9 \times 1.8 \times 10^{ -5 } }\end{array} \) = 5.8 cm^(-1)
And the viscous force on the drop is
F = 6πηrv
= 6 x 3.14 x 1.8 × 10^(-5) x 2 x 10^(-5) x  5.8 x 10^(-2)= 3.91 x 10^(-10) N",,,,,,,,
"30:  Two narrow bores of diameters 3.0 mm and 6.0 mm are joined together to form a U-tube open at both ends. If the U-tube contains water, what is the difference in its levels in the two limbs of the tube? The surface tension of water at the temperature of the experiment is 7.3 × 10^(–2) N m^–1. Take the angle of contact to be zero and the density of water to be 1.0 × 10^3 kg m^(–3) (g = 9.8 m s^–2).","Diameter of the first bore, d1 = 3.0 mm = 3 × 10^-3 mRadius of the first bore, r1 = 3/2 = 1.5 x 10^-3 m.
Diameter of the second bore, d2 =6mm
Radius of the second bore, r2 = 6/2 = 3 x 10^-3 mm
Surface tension of water, s = 7.3 × 10^-2 N /m
Angle of contact between the bore surface and water, θ= 0
Density of water, ρ =1.0 × 10^3 kg/m^-3
Acceleration due to gravity, g = 9.8 m/s^2  Let h1 and h2 be the heights to which water rises in the first and second tubes, respectively.
Thus, the difference in heighth1 – h2 = \(\begin{array}{l}\frac{2sCos\Theta }{r_{1}\rho g} -\frac{2sCos\Theta }{r_{2}\rho g}\end{array} \)

Since, h = \(\begin{array}{l}\frac{2sCos\Theta }{r\rho g}\end{array} \)

h1 – h2 = \(\begin{array}{l}\frac{2sCos\Theta }{\rho g}[\frac{1}{r_{1}} -\frac{1}{r_{2}}]\end{array} \)
= \(\begin{array}{l}\frac{2\times 7.3\times 10^{-2}\times 1 }{10^{3}\times 9.8}\left [ \frac{1}{1.5\times 10^{-3}} -\frac{1}{3 \times 10^{-3}} \right ]\end{array} \) = 4.97 mm  Therefore, the difference in the water levels of the two arms =2.482 mm.
",,,,,,,,
